player_key,player_id,player_name,competition,role,seasons,first_season,last_season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,sample,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,wide_rate,noball_rate,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,min_sample,impact_raw,impact_reliability,impact_score,impact_percentile,cluster,profile_type
37fec668,37fec668,Damodaran Rohit,SMA,bat,3,2019,2022,25.0,405.0,408.0,49.0,10.0,274.0,284.0,128.0,120.0,3.0,4.0,25.0,99.26470588235294,16.2,14.460784313725492,96.47887323943662,106.66666666666667,75.0,,,,,,,,,,,,,,,,,,,,,15,-0.8676147635600322,0.7142857142857143,-0.6197248311143089,9.787234042553191,1,Low-output batting group
38c0d699,38c0d699,Nakul Verma,SMA,bat,5,2016,2023,24.0,495.0,463.0,51.0,4.0,319.0,280.0,172.0,172.0,4.0,11.0,24.0,106.91144708423326,20.625,11.879049676025918,113.92857142857142,100.0,36.36363636363637,,,,,,,,,,,,,,,,,,,,,15,-0.5895142536951629,0.7058823529411765,-0.4161277084907033,18.72340425531915,1,Low-output batting group
39a2dfa8,39a2dfa8,R Tewatia,SMA,bat,5,2018,2023,29.0,593.0,371.0,61.0,23.0,1.0,1.0,187.0,145.0,405.0,225.0,29.0,159.83827493261455,20.448275862068964,22.641509433962266,100.0,128.9655172413793,180.0,,,,,,,,,,,,,,,,,,,,,15,1.0530038853186117,0.7435897435897436,0.7830028890830701,90.2127659574468,2,Run accumulators
3a0dc16e,3a0dc16e,Snehal Kauthankar,SMA,bat,4,2016,2022,20.0,392.0,365.0,39.0,5.0,130.0,139.0,219.0,196.0,43.0,30.0,20.0,107.3972602739726,19.6,12.054794520547945,93.5251798561151,111.73469387755102,143.33333333333334,,,,,,,,,,,,,,,,,,,,,15,-0.6278818697873575,0.6666666666666666,-0.4185879131915717,18.29787234042553,3,Balanced batting group
3b30b8c4,3b30b8c4,Amit Verma,SMA,bat,3,2016,2021,21.0,446.0,344.0,28.0,24.0,65.0,68.0,259.0,217.0,122.0,59.0,21.0,129.6511627906977,21.238095238095237,15.11627906976744,95.58823529411765,119.35483870967742,206.77966101694915,,,,,,,,,,,,,,,,,,,,,15,0.08488151035550921,0.6774193548387096,0.057500377982764216,54.46808510638298,2,Run accumulators
3bc10d5b,3bc10d5b,Pankaj Jaswal,SMA,bat,5,2016,2022,21.0,191.0,110.0,8.0,17.0,0.0,0.0,22.0,22.0,169.0,88.0,21.0,173.63636363636363,9.095238095238095,22.727272727272727,,100.0,192.04545454545453,,,,,,,,,,,,,,,,,,,,,15,0.7107727010545163,0.6774193548387096,0.4814911845853174,78.72340425531915,2,Run accumulators
3c6ffae8,3c6ffae8,YK Pathan,SMA,bat,2,2016,2019,23.0,354.0,353.0,22.0,11.0,1.0,4.0,169.0,229.0,184.0,120.0,23.0,100.28328611898016,15.391304347826088,9.34844192634561,25.0,73.7991266375546,153.33333333333334,,,,,,,,,,,,,,,,,,,,,15,-1.149223772516508,0.696969696969697,-0.8009741444812027,7.659574468085106,1,Low-output batting group
3d8348d0,3d8348d0,Sibsankar Roy,SMA,bat,4,2016,2023,20.0,528.0,423.0,58.0,11.0,194.0,175.0,285.0,212.0,49.0,36.0,20.0,124.822695035461,26.4,16.312056737588655,110.85714285714286,134.43396226415095,136.11111111111111,,,,,,,,,,,,,,,,,,,,,15,0.33302628753812274,0.6666666666666666,0.22201752502541508,64.68085106382979,3,Balanced batting group
40c1eeeb,40c1eeeb,Aniruddha Joshi,SMA,bat,3,2016,2021,17.0,370.0,284.0,28.0,13.0,9.0,13.0,117.0,132.0,244.0,139.0,17.0,130.2816901408451,21.764705882352942,14.43661971830986,69.23076923076923,88.63636363636364,175.53956834532374,,,,,,,,,,,,,,,,,,,,,15,0.09334585447059726,0.6296296296296297,0.05877331577778337,54.8936170212766,3,Balanced batting group
40caa465,40caa465,T Kohli,SMA,bat,3,2019,2022,26.0,812.0,722.0,85.0,16.0,366.0,363.0,335.0,282.0,111.0,77.0,26.0,112.46537396121883,31.23076923076923,13.988919667590027,100.82644628099173,118.79432624113475,144.15584415584414,,,,,,,,,,,,,,,,,,,,,15,0.22736942759068657,0.7222222222222222,0.16421125325994024,60.851063829787236,3,Balanced batting group
