domestic_player_key,domestic_player_name,role,domestic_sample,domestic_impact_score,domestic_impact_percentile,domestic_profile_type,match_rank,ipl_player_key,ipl_player_name,ipl_sample,ipl_impact_score,ipl_impact_percentile,ipl_profile_type,distance,similarity_score
a1765140,Mrunal Devdhar,bat,34.0,0.0911400089364014,56.59574468085107,Balanced batting group,2,b5da6c24,PA Patel,136.0,0.15219120625724228,56.285714285714285,Balanced batting group,0.9476722163150367,51.34334163743339
a1765140,Mrunal Devdhar,bat,34.0,0.0911400089364014,56.59574468085107,Balanced batting group,3,b63ab531,LA Pomersbach,16.0,0.017472530579417233,46.57142857142857,Balanced batting group,1.0701066038631644,48.30669097590593
a446c7be,Vivek Singh,bat,42.0,0.5349303227325091,80.85106382978722,Run accumulators,1,0ebfb1ad,E Lewis,26.0,0.5028147482601214,75.14285714285714,Run accumulators,0.37862608239680007,72.53598439552641
a446c7be,Vivek Singh,bat,42.0,0.5349303227325091,80.85106382978722,Run accumulators,2,77255a9e,RA Tripathi,98.0,0.5186087954675755,76.28571428571429,Run accumulators,0.5347054901768035,65.1590814264173
a446c7be,Vivek Singh,bat,42.0,0.5349303227325091,80.85106382978722,Run accumulators,3,2be41edb,MJ Guptill,13.0,0.2778330646014149,62.857142857142854,Run accumulators,0.5406374126408219,64.90819915153756
a63563c0,Diwesh Pathania,bat,15.0,-0.14422282266688208,37.02127659574468,Balanced batting group,1,0f12f9df,NLTC Perera,30.0,0.04245227955677003,49.42857142857143,Balanced batting group,0.45404725595165124,68.77355573602149
a63563c0,Diwesh Pathania,bat,15.0,-0.14422282266688208,37.02127659574468,Balanced batting group,2,2e171977,AR Patel,133.0,0.04417629540247791,50.0,Balanced batting group,0.5485088271159672,64.57825635146413
a63563c0,Diwesh Pathania,bat,15.0,-0.14422282266688208,37.02127659574468,Balanced batting group,3,24d94623,Ankit Sharma,10.0,-0.1330704951858191,38.57142857142858,Balanced batting group,0.554801587036643,64.31688829865031
a64608ec,Rishabh Chouhan,bat,16.0,-0.38445713918483887,21.27659574468085,Balanced batting group,1,626c5379,R Sathish,24.0,-0.35741818007669335,26.285714285714285,Balanced batting group,0.524490497059204,65.59568602946592
a64608ec,Rishabh Chouhan,bat,16.0,-0.38445713918483887,21.27659574468085,Balanced batting group,2,dc9dd038,Sachin Baby,11.0,-0.15631886839581347,36.57142857142857,Balanced batting group,0.8154027775915439,55.08419466707431
a64608ec,Rishabh Chouhan,bat,16.0,-0.38445713918483887,21.27659574468085,Balanced batting group,3,b1451597,LR Shukla,33.0,-0.3163288549055179,29.428571428571427,Balanced batting group,1.0740203135989717,48.21553547200975
acc1aeda,SP Jackson,bat,37.0,0.4917088174112442,80.0,Run accumulators,1,d027ba9f,KS Williamson,76.0,0.38942647619096465,70.28571428571428,Run accumulators,0.5432616735691589,64.79782509516113
acc1aeda,SP Jackson,bat,37.0,0.4917088174112442,80.0,Run accumulators,2,bd77eb62,A Symonds,36.0,0.37640379650488426,68.85714285714286,Balanced batting group,0.5610624067650362,64.05893804542276
acc1aeda,SP Jackson,bat,37.0,0.4917088174112442,80.0,Run accumulators,3,85ec8e33,SS Iyer,143.0,0.6644555660365481,83.71428571428572,Run accumulators,0.6143086869071213,61.94602111173145
adf454e9,Rahul Singh,bat,24.0,0.771850208787649,89.7872340425532,Run accumulators,1,eaa76d3c,C Green,40.0,0.7379798285903402,86.28571428571429,Run accumulators,0.6265680000237651,61.47913889769068
adf454e9,Rahul Singh,bat,24.0,0.771850208787649,89.7872340425532,Run accumulators,2,bcf325d2,Dhruv Jurel,48.0,0.676188546835167,84.28571428571429,Run accumulators,0.6884127640927561,59.22722341757084
adf454e9,Rahul Singh,bat,24.0,0.771850208787649,89.7872340425532,Run accumulators,3,ad3b6e95,Abishek Porel,32.0,0.5696460422819204,77.71428571428571,Run accumulators,0.8001927065903617,55.54960845797674
aedc3b7c,NS Naik,bat,26.0,0.02944270072699195,51.48936170212765,Balanced batting group,1,2e171977,AR Patel,133.0,0.04417629540247791,50.0,Balanced batting group,0.5057194327996521,66.41343521353475
aedc3b7c,NS Naik,bat,26.0,0.02944270072699195,51.48936170212765,Balanced batting group,2,5b8c830e,KH Pandya,120.0,0.09610425950200484,53.714285714285715,Balanced batting group,0.5949682501277718,62.69717280703805
aedc3b7c,NS Naik,bat,26.0,0.02944270072699195,51.48936170212765,Balanced batting group,3,c3a96caf,Mandeep Singh,97.0,-0.02320848073069168,45.14285714285714,Balanced batting group,0.6017464945615897,62.43185194381884
af863475,Bhanu Pania,bat,18.0,-0.6236498607914622,9.361702127659575,Balanced batting group,1,378daa89,Aman Hakim Khan,10.0,-0.2708307656530058,31.428571428571427,Balanced batting group,0.4590584948024712,68.537348129787
af863475,Bhanu Pania,bat,18.0,-0.6236498607914622,9.361702127659575,Balanced batting group,2,662c47a6,Y Nagar,20.0,-0.34250734564092095,26.571428571428573,Balanced batting group,0.594613127011429,62.71113557644962
